Precision_threshold,Fold,method,obj,time,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall
{2: 0.86},4,IDSA-PIP,0.815,1270,0.913,0.908,"{0: 0.971, 1: 0.883, 2: 0.86, 3: 0.946}","{0: 0.966, 1: 0.893, 2: 0.833, 3: 0.915}","{0: 0.818, 1: 0.99, 2: 0.992, 3: 0.85}","{0: 0.819, 1: 0.989, 2: 0.99, 3: 0.793}"
"{2: 0.86, 1: 0.9}",1,Full MIP,0.781,3547,0.941,0.944,"{0: 0.973, 1: 0.94, 2: 0.873, 3: 0.945}","{0: 0.967, 1: 0.935, 2: 0.919, 3: 0.918}","{0: 0.889, 1: 0.991, 2: 0.992, 3: 0.841}","{0: 0.906, 1: 0.985, 2: 0.99, 3: 0.817}"
"{2: 0.86, 1: 0.9}",1,PIP,0.789,1256,0.94,0.936,"{0: 0.973, 1: 0.925, 2: 0.903, 3: 0.945}","{0: 0.966, 1: 0.913, 2: 0.932, 3: 0.918}","{0: 0.886, 1: 0.991, 2: 0.992, 3: 0.841}","{0: 0.887, 1: 0.985, 2: 0.99, 3: 0.817}"
"{2: 0.86, 1: 0.9}",1,ISA-PIP,0.801,517,0.924,0.919,"{0: 0.972, 1: 0.908, 2: 0.862, 3: 0.937}","{0: 0.965, 1: 0.885, 2: 0.915, 3: 0.893}","{0: 0.848, 1: 0.99, 2: 0.992, 3: 0.841}","{0: 0.848, 1: 0.981, 2: 0.99, 3: 0.817}"
"{2: 0.86, 1: 0.9}",1,IDSA-PIP,0.804,886,0.926,0.92,"{0: 0.972, 1: 0.91, 2: 0.865, 3: 0.945}","{0: 0.965, 1: 0.885, 2: 0.915, 3: 0.918}","{0: 0.851, 1: 0.991, 2: 0.992, 3: 0.841}","{0: 0.848, 1: 0.985, 2: 0.99, 3: 0.817}"
"{2: 0.86, 1: 0.9}",2,Full MIP,0.783,3552,0.93,0.933,"{0: 0.97, 1: 0.924, 2: 0.862, 3: 0.923}","{0: 0.975, 1: 0.919, 2: 0.862, 3: 0.986}","{0: 0.867, 1: 0.987, 2: 0.99, 3: 0.829}","{0: 0.858, 1: 0.998, 2: 0.995, 3: 0.854}"
"{2: 0.86, 1: 0.9}",2,PIP,0.783,1056,0.937,0.941,"{0: 0.97, 1: 0.925, 2: 0.898, 3: 0.923}","{0: 0.976, 1: 0.922, 2: 0.896, 3: 0.986}","{0: 0.886, 1: 0.987, 2: 0.99, 3: 0.829}","{0: 0.878, 1: 0.998, 2: 0.995, 3: 0.854}"
"{2: 0.86, 1: 0.9}",2,ISA-PIP,0.791,379,0.93,0.933,"{0: 0.973, 1: 0.924, 2: 0.863, 3: 0.912}","{0: 0.973, 1: 0.921, 2: 0.866, 3: 0.986}","{0: 0.868, 1: 0.987, 2: 0.99, 3: 0.841}","{0: 0.862, 1: 0.996, 2: 0.995, 3: 0.854}"
"{2: 0.86, 1: 0.9}",2,IDSA-PIP,0.801,1536,0.922,0.924,"{0: 0.979, 1: 0.908, 2: 0.861, 3: 0.866}","{0: 0.975, 1: 0.909, 2: 0.858, 3: 0.934}","{0: 0.849, 1: 0.976, 2: 0.99, 3: 0.894}","{0: 0.846, 1: 0.989, 2: 0.995, 3: 0.866}"
"{2: 0.86, 1: 0.9}",3,Full MIP,0.774,3181,0.944,0.943,"{0: 0.969, 1: 0.944, 2: 0.886, 3: 0.94}","{0: 0.976, 1: 0.949, 2: 0.861, 3: 0.935}","{0: 0.9, 1: 0.99, 2: 0.992, 3: 0.821}","{0: 0.895, 1: 0.985, 2: 0.99, 3: 0.878}"
"{2: 0.86, 1: 0.9}",3,PIP,0.804,1609,0.921,0.924,"{0: 0.971, 1: 0.9, 2: 0.866, 3: 0.932}","{0: 0.981, 1: 0.912, 2: 0.843, 3: 0.924}","{0: 0.841, 1: 0.99, 2: 0.992, 3: 0.829}","{0: 0.844, 1: 0.989, 2: 0.99, 3: 0.89}"
"{2: 0.86, 1: 0.9}",3,ISA-PIP,0.807,388,0.924,0.922,"{0: 0.98, 1: 0.903, 2: 0.872, 3: 0.905}","{0: 0.979, 1: 0.913, 2: 0.843, 3: 0.88}","{0: 0.848, 1: 0.985, 2: 0.992, 3: 0.886}","{0: 0.846, 1: 0.979, 2: 0.99, 3: 0.89}"
"{2: 0.86, 1: 0.9}",3,IDSA-PIP,0.807,1176,0.92,0.922,"{0: 0.967, 1: 0.904, 2: 0.86, 3: 0.94}","{0: 0.975, 1: 0.914, 2: 0.836, 3: 0.935}","{0: 0.842, 1: 0.989, 2: 0.992, 3: 0.821}","{0: 0.842, 1: 0.987, 2: 0.99, 3: 0.878}"
"{2: 0.86, 1: 0.9}",4,Full MIP,0.801,3538,0.926,0.918,"{0: 0.972, 1: 0.91, 2: 0.865, 3: 0.946}","{0: 0.965, 1: 0.914, 2: 0.836, 3: 0.915}","{0: 0.851, 1: 0.99, 2: 0.992, 3: 0.85}","{0: 0.842, 1: 0.989, 2: 0.99, 3: 0.793}"
"{2: 0.86, 1: 0.9}",4,PIP,0.803,1307,0.924,0.916,"{0: 0.972, 1: 0.903, 2: 0.867, 3: 0.946}","{0: 0.965, 1: 0.909, 2: 0.84, 3: 0.915}","{0: 0.845, 1: 0.99, 2: 0.992, 3: 0.85}","{0: 0.839, 1: 0.989, 2: 0.99, 3: 0.793}"
"{2: 0.86, 1: 0.9}",4,ISA-PIP,0.8,548,0.922,0.915,"{0: 0.977, 1: 0.901, 2: 0.86, 3: 0.93}","{0: 0.968, 1: 0.906, 2: 0.833, 3: 0.918}","{0: 0.839, 1: 0.99, 2: 0.992, 3: 0.87}","{0: 0.832, 1: 0.989, 2: 0.99, 3: 0.817}"
"{2: 0.86, 1: 0.9}",4,IDSA-PIP,0.807,1053,0.925,0.919,"{0: 0.97, 1: 0.911, 2: 0.861, 3: 0.946}","{0: 0.965, 1: 0.917, 2: 0.833, 3: 0.915}","{0: 0.851, 1: 0.989, 2: 0.992, 3: 0.85}","{0: 0.844, 1: 0.989, 2: 0.99, 3: 0.793}"
