Precision_threshold,Fold,method,obj,time,train_acc_margined,test_acc_margined,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall
{2: 0.85},3,Full MIP,-160999.092,2732,0.908,0.863,0.935,0.92,"{0: 0.939, 1: 1.0, 2: 0.794, 3: 0.975, 4: 0.861, 5: 1.0, 6: 0.988}","{0: 0.965, 1: 1.0, 2: 0.735, 3: 0.961, 4: 0.8, 5: 1.0, 6: 1.0}","{0: 1.0, 1: 1.0, 2: 0.915, 3: 0.931, 4: 0.702, 5: 1.0, 6: 1.0}","{0: 1.0, 1: 1.0, 2: 0.915, 3: 0.892, 4: 0.634, 5: 1.0, 6: 1.0}"
{2: 0.85},3,PIP,0.917,1346,0.917,0.872,0.947,0.92,"{0: 0.972, 1: 1.0, 2: 0.862, 3: 0.955, 4: 0.845, 5: 1.0, 6: 1.0}","{0: 1.0, 1: 1.0, 2: 0.78, 3: 0.938, 4: 0.757, 5: 1.0, 6: 0.965}","{0: 0.988, 1: 1.0, 2: 0.903, 3: 0.943, 4: 0.81, 5: 0.992, 6: 0.996}","{0: 0.988, 1: 1.0, 2: 0.866, 3: 0.904, 4: 0.683, 5: 1.0, 6: 1.0}"
{2: 0.85},3,ISA-PIP,0.919,560,0.919,0.856,0.947,0.924,"{0: 0.976, 1: 1.0, 2: 0.856, 3: 0.951, 4: 0.845, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.789, 3: 0.938, 4: 0.753, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.907, 3: 0.943, 4: 0.794, 5: 1.0, 6: 0.996}","{0: 0.988, 1: 1.0, 2: 0.866, 3: 0.904, 4: 0.707, 5: 1.0, 6: 1.0}"
{2: 0.85},3,IDSA-PIP,0.926,1339,0.926,0.879,0.939,0.915,"{0: 0.953, 1: 1.0, 2: 0.881, 3: 0.903, 4: 0.831, 5: 1.0, 6: 1.0}","{0: 0.976, 1: 1.0, 2: 0.812, 3: 0.882, 4: 0.724, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.899, 3: 0.939, 4: 0.754, 5: 0.996, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.841, 3: 0.904, 4: 0.671, 5: 1.0, 6: 1.0}"
{2: 0.85},4,Full MIP,0.887,3600,0.887,0.837,0.931,0.91,"{0: 0.935, 1: 1.0, 2: 0.856, 3: 0.981, 4: 0.798, 5: 0.969, 6: 0.984}","{0: 0.891, 1: 1.0, 2: 0.816, 3: 0.971, 4: 0.766, 5: 0.943, 6: 0.988}","{0: 0.992, 1: 1.0, 2: 0.907, 3: 0.854, 4: 0.766, 5: 1.0, 6: 1.0}","{0: 1.0, 1: 1.0, 2: 0.866, 3: 0.795, 4: 0.72, 5: 1.0, 6: 0.988}"
{2: 0.85},4,PIP,0.93,1766,0.93,0.879,0.942,0.922,"{0: 0.984, 1: 1.0, 2: 0.857, 3: 1.0, 4: 0.8, 5: 0.969, 6: 1.0}","{0: 0.964, 1: 1.0, 2: 0.855, 3: 1.0, 4: 0.733, 5: 0.933, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.915, 3: 0.866, 4: 0.823, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.866, 3: 0.807, 4: 0.805, 5: 1.0, 6: 0.988}"
{2: 0.85},4,ISA-PIP,0.932,663,0.932,0.894,0.941,0.925,"{0: 0.996, 1: 1.0, 2: 0.853, 3: 1.0, 4: 0.787, 5: 0.972, 6: 1.0}","{0: 0.964, 1: 1.0, 2: 0.854, 3: 1.0, 4: 0.747, 5: 0.943, 6: 1.0}","{0: 0.984, 1: 1.0, 2: 0.887, 3: 0.866, 4: 0.847, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.854, 3: 0.819, 4: 0.829, 5: 1.0, 6: 0.988}"
{2: 0.85},4,IDSA-PIP,0.932,1852,0.932,0.894,0.941,0.924,"{0: 0.984, 1: 1.0, 2: 0.87, 3: 1.0, 4: 0.779, 5: 0.984, 6: 0.996}","{0: 0.953, 1: 1.0, 2: 0.886, 3: 1.0, 4: 0.726, 5: 0.943, 6: 1.0}","{0: 0.984, 1: 1.0, 2: 0.891, 3: 0.862, 4: 0.851, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.854, 3: 0.795, 4: 0.841, 5: 1.0, 6: 0.988}"
"{2: 0.85, 4: 0.75}",1,Full MIP,-127499.098,3022,0.902,0.891,0.931,0.936,"{0: 0.996, 1: 1.0, 2: 0.804, 3: 0.901, 4: 0.816, 5: 1.0, 6: 1.0}","{0: 1.0, 1: 1.0, 2: 0.802, 3: 0.879, 4: 0.889, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.895, 3: 0.956, 4: 0.68, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.928, 3: 0.976, 4: 0.675, 5: 1.0, 6: 0.988}"
"{2: 0.85, 4: 0.75}",1,PIP,0.902,714,0.902,0.898,0.942,0.946,"{0: 0.988, 1: 1.0, 2: 0.852, 3: 0.929, 4: 0.819, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.864, 3: 0.889, 4: 0.886, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.883, 3: 0.952, 4: 0.769, 5: 1.0, 6: 1.0}","{0: 0.988, 1: 1.0, 2: 0.916, 3: 0.976, 4: 0.747, 5: 1.0, 6: 1.0}"
