dataset,depth,split,method,tau_0,key_beta_p,beta_p,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc,test_acc,train_prec,test_prec
fish,3,1,Full MIP,,8,0.28,-109999.3206,1.000009091,3637.711683,3637.711683,11,0.679,0.675,0.272,0.271
fish,3,1,IDSA-PIP,,8,0.28,0.681045752,,571.2521498,,0,0.681,0.681,0.28,0.28
fish,3,2,Full MIP,,8,0.28,-104399.3216,1.000009579,3600.361131,3600.361131,10.44,0.678,0.678,0.272,0.271
fish,3,2,IDSA-PIP,,8,0.28,0.681045752,,551.396724,,0,0.681,0.681,0.28,0.281
fish,3,3,Full MIP,,8,0.28,-104399.3212,1.000009579,3600.402687,3600.402687,10.44,0.679,0.677,0.272,0.271
fish,3,3,IDSA-PIP,,8,0.28,0.681045752,,555.1513865,,0,0.681,0.679,0.281,0.28
fish,3,4,Full MIP,,8,0.28,-143599.3216,1.000006964,3600.20583,3600.20583,14.36,0.68,0.679,0.269,0.27
fish,3,4,IDSA-PIP,,8,0.28,0.681045752,,679.8006985,,0,0.681,0.679,0.28,0.28
wine,4,1,Full MIP,10,2,0.99,1,0,6.24516511,6.24516511,0,1,0.822,1,0.75
wine,4,1,IDSA-PIP,10,2,0.99,1,,3.206682205,,0,1,0.844,1,0.824
wine,4,2,Full MIP,7,2,0.99,1,0,371.4645679,371.4645679,0,1,0.867,1,0.75
wine,4,2,IDSA-PIP,7,2,0.99,1,,8.624647856,,0,1,0.933,1,0.857
wine,4,3,Full MIP,10,2,0.99,0.984962406,0.015267176,0.873106003,3600.676159,0,0.985,0.8,1,0.867
wine,4,3,IDSA-PIP,10,2,0.99,1,,110.3057585,,0,1,0.867,1,0.933
wine,4,4,Full MIP,8,2,0.99,1,0,211.054045,211.054045,0,1,0.956,1,0.944
wine,4,4,IDSA-PIP,8,2,0.99,1,,5.765797377,,0,1,0.867,1,0.929
nwth,4,1,Full MIP,,1,1,0.310559218,2.219997806,0.641998053,3627.164512,-2.12E-11,0.311,0.278,1,1
nwth,4,1,IDSA-PIP,,1,1,0.950310559,,1388.53919,,0,0.95,0.889,1,0.944
nwth,4,2,Full MIP,,1,1,0.316770186,2.156862745,3247.622386,3600.134579,0,0.317,0.333,1,1
nwth,4,2,IDSA-PIP,,1,1,0.888198758,,1411.724832,,0,0.888,0.815,1,1
nwth,4,3,Full MIP,,1,1,0.397515528,1.515625,3607.762479,3607.903587,0,0.398,0.352,1,0.75
nwth,4,3,IDSA-PIP,,1,1,1,,643.1174846,,0,1,0.907,1,0.923
nwth,4,4,Full MIP,,1,1,1,0,3186.545694,3186.545694,0,1,0.889,1,0.9
nwth,4,4,IDSA-PIP,,1,1,1,,264.2874155,,0,1,0.87,1,0.878
htds,4,1,Full MIP,10,1,0.83,0.697777778,0.433121019,3600.045838,3600.175046,0,0.698,0.5,0.894,0.727
htds,4,1,IDSA-PIP,10,1,0.83,0.88,,1010.906899,,0,0.88,0.553,0.938,0.723
htds,4,2,Full MIP,7,1,0.83,0.706666667,0.41509434,3600.058766,3600.187153,0,0.707,0.5,0.837,0.708
htds,4,2,IDSA-PIP,7,1,0.83,0.853333333,,1340.741735,,0,0.853,0.553,0.938,0.837
htds,4,3,Full MIP,11,1,0.83,0.68,0.470588235,2.662429094,3600.310797,0,0.68,0.566,0.848,0.745
htds,4,3,IDSA-PIP,11,1,0.83,0.902222222,,1911.501111,,0,0.902,0.553,0.984,0.755
htds,4,4,Full MIP,7,1,0.83,0.72,0.388888889,1.394482851,3600.349302,0,0.72,0.566,0.89,0.773
htds,4,4,IDSA-PIP,7,1,0.83,0.897777778,,1401.454862,,0,0.898,0.553,0.975,0.745
dmtl,4,1,Full MIP,18,1,1,0.914179104,0.093877551,4.106579065,3600.403962,0,0.914,0.878,1,1
dmtl,4,1,IDSA-PIP,18,1,1,0.996268657,,589.8432555,,0,0.996,0.933,1,0.962
dmtl,4,2,Full MIP,14,1,1,0.925373134,0.080645161,3.854618073,3600.527475,0,0.933,0.922,1,1
dmtl,4,2,IDSA-PIP,14,1,1,0.906716418,,511.2145507,,0,0.907,0.933,1,1
dmtl,4,3,Full MIP,17,1,1,0.902985075,0.107438017,4.091485977,3600.257183,0,0.903,0.933,1,0.966
dmtl,4,3,IDSA-PIP,17,1,1,0.902985075,,510.2903824,,0,0.903,0.933,1,0.966
dmtl,4,4,Full MIP,19,1,1,0.910447761,0.098360656,3.819689989,3600.857968,0,0.91,0.867,1,0.964
dmtl,4,4,IDSA-PIP,19,1,1,0.996268657,,885.1663177,,0,0.996,0.878,1,0.966
blsc,4,1,Full MIP,,1,0.87,0.837606838,0.193877551,2.061331987,3605.348931,0,0.838,0.777,0.875,0.812
blsc,4,1,IDSA-PIP,,1,0.87,0.952991453,,1318.566055,,0,0.953,0.885,0.973,0.905
blsc,4,2,Full MIP,,1,0.87,0.818376068,0.221932115,1.685576916,3602.805298,0,0.818,0.739,0.876,0.864
blsc,4,2,IDSA-PIP,,1,0.87,0.94017094,,1309.180903,,0,0.94,0.822,0.968,0.952
