dataset,depth,split,method,restricted_class,beta_p,gap,time,gamma,train_acc,test_acc,train_prec,test_prec
blsc,4,1,C-PIP,0,0.96,,1746.193133,0,0.934,0.866,0.968,0.87
blsc,4,2,C-PIP,0,0.96,,2348.149179,0,0.949,0.834,0.971,0.863
blsc,4,3,C-PIP,0,0.96,,1294.387038,0,0.882,0.815,0.961,0.934
blsc,4,4,C-PIP,0,0.96,,2246.489689,0,0.947,0.841,0.977,0.91
blsc,4,1,C-PIP,0,0.97,,2530.705526,0,0.955,0.841,0.99,0.929
blsc,4,2,C-PIP,0,0.97,,1982.658047,0,0.934,0.834,0.985,0.955
blsc,4,3,C-PIP,0,0.97,,2439.01282,0,0.929,0.879,0.99,0.984
blsc,4,4,C-PIP,0,0.97,,1596.281447,0,0.938,0.86,0.982,0.895
blsc,2,1,FlowOCT,0,0.88,0,285.4557228,0,0.588,0.599,0.900,0.833
blsc,2,1,FlowOCT,0,0.89,0,197.8356531,0,0.588,0.599,0.900,0.833
blsc,2,1,FlowOCT,0,0.9,0,264.803515,0,0.588,0.599,0.900,0.833
blsc,2,1,FlowOCT,0,0.91,0,640.6222479,0,0.506,0.478,1.000,0.750
blsc,2,1,FlowOCT,0,0.92,0,338.65763,0,0.506,0.478,1.000,0.750
blsc,2,1,FlowOCT,0,0.93,0,473.1872849,0,0.506,0.478,1.000,0.750
blsc,2,1,FlowOCT,0,0.94,0,591.4765859,0,0.506,0.478,1.000,0.750
blsc,2,1,FlowOCT,0,0.95,0,437.9592462,0,0.506,0.478,1.000,0.750
blsc,2,1,FlowOCT,0,0.96,0,488.662596,0,0.506,0.478,1.000,0.750
blsc,2,1,FlowOCT,0,0.97,0,482.1648729,0,0.506,0.478,1.000,0.750
blsc,2,2,FlowOCT,0,0.88,0,302.626308,0,0.585,0.605,0.889,0.857
blsc,2,2,FlowOCT,0,0.89,0,643.5982301,0,0.502,0.478,0.952,0.750
blsc,2,2,FlowOCT,0,0.9,0,590.6464779,0,0.502,0.478,0.952,0.750
blsc,2,2,FlowOCT,0,0.91,0,715.420367,0,0.502,0.478,0.952,0.750
blsc,2,2,FlowOCT,0,0.92,0,327.6172831,0,0.502,0.478,0.952,0.750
blsc,2,2,FlowOCT,0,0.93,0,801.1996441,0,0.502,0.478,0.952,0.750
blsc,2,2,FlowOCT,0,0.94,0,589.2058041,0,0.502,0.478,0.952,0.750
blsc,2,2,FlowOCT,0,0.95,0,468.782198,0,0.502,0.478,0.952,0.750
blsc,2,2,FlowOCT,0,0.96,0,840.587935,0,0.498,0.503,1.000,0.875
blsc,2,2,FlowOCT,0,0.97,0,1433.473785,0,0.498,0.503,1.000,0.875
blsc,2,3,FlowOCT,0,0.88,0,190.7088101,0,0.598,0.567,0.918,0.778
blsc,2,3,FlowOCT,0,0.89,0,370.376966,0,0.598,0.567,0.918,0.778
blsc,2,3,FlowOCT,0,0.9,0,576.7576399,0,0.598,0.567,0.918,0.778
