dataset,depth,split,method,restricted_class,beta_p,gap,time,gamma,train_acc,test_acc,train_prec,test_prec
ctmc,4,3,C-PIP,0,0.64,0.614035088,1289.531658,0,0.620,0.564,0.692,0.610
ctmc,4,4,C-PIP,0,0.64,0.662650602,1058.571688,0,0.601,0.534,0.679,0.614
ctmc,4,1,C-PIP,0,0.66,0.616398243,1283.142158,0,0.620,0.558,0.713,0.664
ctmc,4,2,C-PIP,0,0.66,0.595375723,1621.419153,0,0.628,0.512,0.716,0.633
ctmc,4,3,C-PIP,0,0.66,0.647761194,1660.716195,0,0.607,0.580,0.691,0.615
ctmc,4,4,C-PIP,0,0.66,0.675265554,1034.787383,0,0.597,0.531,0.687,0.623
ctmc,4,1,C-PIP,0,0.68,0.581661891,1677.544105,0,0.632,0.542,0.716,0.637
ctmc,4,2,C-PIP,0,0.68,0.621145374,1172.691031,0,0.617,0.509,0.717,0.645
ctmc,4,3,C-PIP,0,0.68,0.633136095,1905.395822,0,0.613,0.599,0.702,0.649
ctmc,4,4,C-PIP,0,0.68,0.662650602,1252.390818,0,0.601,0.542,0.694,0.625
ctmc,4,1,C-PIP,0,0.7,0.708978328,1162.816103,0,0.585,0.528,0.824,0.756
ctmc,4,2,C-PIP,0,0.7,0.688073394,1140.952751,0,0.593,0.493,0.809,0.711
ctmc,4,3,C-PIP,0,0.7,0.667673716,1665.322428,0,0.600,0.572,0.796,0.691
ctmc,4,4,C-PIP,0,0.7,0.722308892,1049.860621,0,0.581,0.523,0.788,0.755
ctmc,4,1,C-PIP,0,0.72,0.675265554,1542.154819,0,0.597,0.526,0.820,0.729
ctmc,4,2,C-PIP,0,0.72,0.752380952,806.8544924,0,0.571,0.504,0.807,0.785
ctmc,4,3,C-PIP,0,0.72,0.662650602,1459.777582,0,0.601,0.566,0.826,0.716
ctmc,4,4,C-PIP,0,0.72,0.727699531,1033.387829,0,0.579,0.531,0.777,0.777
ctmc,4,1,C-PIP,0,0.74,0.655172414,1722.267486,0,0.604,0.520,0.853,0.761
ctmc,4,2,C-PIP,0,0.74,0.722308892,1072.851231,0,0.581,0.504,0.801,0.785
ctmc,4,3,C-PIP,0,0.74,0.650224215,1781.37972,0,0.606,0.550,0.788,0.659
ctmc,4,4,C-PIP,0,0.74,0.741324921,997.1720126,0,0.574,0.509,0.791,0.734
ctmc,4,1,C-PIP,0,0.76,0.647761194,2279.411599,0,0.607,0.523,0.849,0.753
ctmc,4,2,C-PIP,0,0.76,0.685496183,1528.187309,0,0.594,0.469,0.822,0.744
ctmc,4,3,C-PIP,0,0.76,0.665158371,2037.380924,0,0.601,0.566,0.801,0.694
ctmc,4,4,C-PIP,0,0.76,0.703703704,1129.538164,0,0.587,0.528,0.789,0.742
ctmc,4,1,C-PIP,0,0.78,0.660150376,1700.592218,0,0.602,0.515,0.829,0.736
ctmc,4,2,C-PIP,0,0.78,0.685496183,1377.497263,0,0.593,0.496,0.809,0.756
ctmc,4,3,C-PIP,0,0.78,0.698461538,1440.591978,0,0.589,0.572,0.815,0.730
ctmc,4,4,C-PIP,0,0.78,0.763578275,1045.566226,0,0.567,0.526,0.792,0.761
ctmc,4,1,C-PIP,0,0.8,0.660150376,1765.597055,0,0.602,0.534,0.861,0.780
ctmc,4,2,C-PIP,0,0.8,0.719626168,1071.208873,0,0.582,0.491,0.817,0.738
ctmc,4,3,C-PIP,0,0.8,0.763578275,2106.071354,0,0.567,0.509,0.944,0.803
ctmc,4,4,C-PIP,0,0.8,0.936842105,979.3958809,0,0.516,0.477,0.964,0.863
ctmc,4,1,C-PIP,0,0.82,0.652694611,1820.506927,0,0.605,0.520,0.835,0.732
ctmc,4,2,C-PIP,0,0.82,0.744075829,1683.149897,0,0.573,0.466,0.911,0.828
ctmc,4,3,C-PIP,0,0.82,0.711627907,2057.597958,0,0.584,0.496,0.957,0.723
ctmc,4,4,C-PIP,0,0.82,0.996383363,955.8512063,0,0.501,0.474,1.000,0.927
ctmc,2,1,FlowOCT,0,0.54,0,541.092778,0,0.518,0.458,0.564,0.525
ctmc,2,1,FlowOCT,0,0.56,0,388.433569,0,0.518,0.458,0.564,0.525
ctmc,2,1,FlowOCT,0,0.58,0,423.069876,0,0.517,0.499,0.696,0.647
ctmc,2,1,FlowOCT,0,0.6,0,436.554003,0,0.517,0.499,0.696,0.647
ctmc,2,1,FlowOCT,0,0.62,0,641.9135568,0,0.517,0.499,0.696,0.647
ctmc,2,1,FlowOCT,0,0.64,0,549.8118322,0,0.517,0.499,0.696,0.647
ctmc,2,1,FlowOCT,0,0.66,0,515.186058,0,0.517,0.499,0.696,0.647
ctmc,2,1,FlowOCT,0,0.68,0,544.1779659,0,0.517,0.499,0.696,0.647
ctmc,2,1,FlowOCT,0,0.7,0,590.398093,0,0.483,0.477,0.700,0.674
ctmc,2,1,FlowOCT,0,0.72,0,609.736414,0,0.451,0.407,0.760,0.652
ctmc,2,2,FlowOCT,0,0.54,0,460.687856,0,0.524,0.480,0.690,0.660
ctmc,2,2,FlowOCT,0,0.56,0,463.9928908,0,0.524,0.480,0.690,0.660
ctmc,2,2,FlowOCT,0,0.58,0,576.2830141,0,0.524,0.480,0.690,0.660
ctmc,2,2,FlowOCT,0,0.6,0,590.2307699,0,0.524,0.480,0.690,0.660
ctmc,2,2,FlowOCT,0,0.62,0,527.7228131,0,0.524,0.480,0.690,0.660
ctmc,2,2,FlowOCT,0,0.64,0,694.9086118,0,0.524,0.480,0.690,0.660
ctmc,2,2,FlowOCT,0,0.66,0,585.820889,0,0.524,0.480,0.690,0.660
ctmc,2,2,FlowOCT,0,0.68,0,540.6635978,0,0.524,0.480,0.690,0.660
ctmc,2,2,FlowOCT,0,0.7,0,952.0574169,0,0.481,0.439,0.702,0.659
ctmc,2,2,FlowOCT,0,0.72,0,552.6541009,0,0.451,0.390,0.748,0.675
ctmc,2,3,FlowOCT,0,0.54,0,549.6341119,0,0.504,0.515,0.614,0.606
