approach,dataset,sample,nrow,depth,restricted_class,beta_p,lambda,time_limit,status,obj_value,gamma_value,solving_time,gap,train_acc,eval_acc,test_acc,train_prec,eval_prec,test_prec,node_count,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc
FlowOCT,ctmc_5buckets,3,1104,3,0,0.8,0.5,3600,9,-309.5,0,3600.220096,99.51534733,0.445652174,0.47826087,0.514905149,0.802919708,0.807017544,0.816666667,1651,0,0,0,0
FlowOCT,ctmc_5buckets,3,1104,3,0,0.82,0.5,3600,9,-321.5,0,3600.199331,99.53343701,0.423913043,0.451086957,0.466124661,0.835164835,0.842105263,0.875,291,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,3,0,0.64,0.5,3600,9,-256.5,0,3600.26855,99.41520468,0.541666667,0.54076087,0.509485095,0.651214128,0.65034965,0.614379085,1456,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,3,0,0.66,0.5,3600,9,-257.5,0,3600.585008,99.41747573,0.539855072,0.532608696,0.506775068,0.673796791,0.661290323,0.650406504,269,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,3,0,0.68,0.5,3600,9,-267.5,0,3600.288753,99.43925234,0.520833333,0.516304348,0.501355014,0.692307692,0.694444444,0.67826087,191,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,3,0,0.7,0.5,3600,9,-281.5,0,3600.457827,99.46718831,0.494565217,0.489130435,0.495934959,0.700729927,0.655555556,0.693877551,1894,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,3,0,0.72,0.5,3600,9,-271.5,0,3600.750944,99.44751381,0.513586957,0.516304348,0.514905149,0.725694444,0.721649485,0.691588785,291,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,3,0,0.74,0.5,3600,9,-299.5,0,3601.590292,99.49916528,0.462862319,0.464673913,0.447154472,0.773809524,0.75,0.723076923,228,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,3,0,0.76,0.5,3600,9,-309,0,3600.860873,99.51456311,0.445652174,0.453804348,0.420054201,0.785714286,0.759259259,0.734693878,186,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,3,0,0.78,0.5,3600,9,-308,0,3600.554248,99.51298701,0.447463768,0.489130435,0.409214092,0.785714286,0.9,0.735294118,191,0,0,0,0
FlowOCT,ctmc_5buckets,4,1104,3,0,0.8,0.5,3600,9,-306,0,3600.367069,99.50980392,0.451992754,0.486413043,0.411924119,0.8,0.888888889,0.76744186,1163,0,0,0,0
