method,dataset,run,depth,restricted_class,beta_p,objective_value,optimality_gap,time,gamma,train_acc,test_acc,train_prec,test_prec
C-BinOCT,ctmc,2,2,0,0.56,488.0,9.714918317694952e-05,157.8260200023651,0.0,0.5579710144927537,0.4932249322493225,0.6567505720823799,0.6183206106870229
C-BinOCT,ctmc,2,2,0,0.58,488.0,0.0,143.42465496063232,0.0,0.5579710144927537,0.4932249322493225,0.6567505720823799,0.6183206106870229
C-BinOCT,ctmc,2,2,0,0.6,488.0,1.3052104011358516e-05,143.28519701957703,0.0,0.5579710144927537,0.4932249322493225,0.6567505720823799,0.6183206106870229
C-BinOCT,ctmc,2,2,0,0.62,488.0,4.9377839238580884e-05,166.5178360939026,0.0,0.5579710144927537,0.4932249322493225,0.6567505720823799,0.6183206106870229
C-BinOCT,ctmc,2,2,0,0.64,488.0,4.2802722252276786e-05,132.84294986724854,0.0,0.5579710144927537,0.4932249322493225,0.6567505720823799,0.6183206106870229
C-BinOCT,ctmc,2,2,0,0.66,507.0,7.724751650125091e-05,137.38087701797485,0.0,0.5407608695652174,0.48509485094850946,0.7945736434108527,0.7671232876712328
C-BinOCT,ctmc,2,2,0,0.68,507.0,7.724751650225996e-05,126.34794688224792,0.0,0.5407608695652174,0.48509485094850946,0.7945736434108527,0.7671232876712328
C-BinOCT,ctmc,2,2,0,0.7,507.0,9.784685422652397e-05,104.29266905784607,0.0,0.5407608695652174,0.48509485094850946,0.7945736434108527,0.7671232876712328
C-BinOCT,ctmc,2,2,0,0.72,507.0,9.784685422461797e-05,135.97698998451233,0.0,0.5407608695652174,0.48509485094850946,0.7945736434108527,0.7671232876712328
C-BinOCT,ctmc,3,2,0,0.54,502.0,3.5571997725018864e-05,137.23962497711182,0.0,0.5452898550724637,0.5474254742547425,0.6405228758169934,0.6
C-BinOCT,ctmc,3,2,0,0.56,502.0000000000041,0.0,166.53916907310486,0.0,0.5452898550724637,0.5474254742547425,0.6405228758169934,0.6
C-BinOCT,ctmc,3,2,0,0.58,502.0,1.576489739920095e-05,134.52393198013306,0.0,0.5452898550724637,0.5474254742547425,0.6405228758169934,0.6
C-BinOCT,ctmc,3,2,0,0.6,502.0,0.0,137.71945810317993,0.0,0.5452898550724637,0.5474254742547425,0.6405228758169934,0.6
C-BinOCT,ctmc,3,2,0,0.62,502.0,0.0,123.26590704917908,0.0,0.5452898550724637,0.5474254742547425,0.6405228758169934,0.6
C-BinOCT,ctmc,3,2,0,0.64,502.0,5.9593310931187126e-05,113.69712686538696,0.0,0.5452898550724637,0.5474254742547425,0.6405228758169934,0.6
C-BinOCT,ctmc,3,2,0,0.66,524.0,1.494827896040175e-05,143.89359784126282,0.0,0.5253623188405797,0.5528455284552846,0.7591240875912408,0.6964285714285714
C-BinOCT,ctmc,3,2,0,0.68,524.0,1.4948278956930395e-05,131.20351481437683,0.0,0.5253623188405797,0.5528455284552846,0.7591240875912408,0.6964285714285714
C-BinOCT,ctmc,3,2,0,0.7,524.0,5.9793115819911037e-05,153.2217891216278,0.0,0.5253623188405797,0.5338753387533876,0.7254237288135593,0.6475409836065574
C-BinOCT,ctmc,3,2,0,0.72,523.999999998,0.0,135.07354092597961,0.0,0.5253623188405797,0.5338753387533876,0.7254237288135593,0.6475409836065574
C-BinOCT,ctmc,4,2,0,0.54,493.0,9.00333123254555e-05,138.2857370376587,0.0,0.5534420289855072,0.5230352303523035,0.6336206896551724,0.6193548387096774
C-BinOCT,ctmc,4,2,0,0.56,493.0,6.878280258202198e-05,144.83185815811157,0.0,0.5534420289855072,0.5230352303523035,0.6336206896551724,0.6193548387096774
C-BinOCT,ctmc,4,2,0,0.58,492.99999999600004,6.958076426038166e-05,153.06287097930908,0.0,0.5534420289855072,0.5230352303523035,0.6336206896551724,0.6193548387096774
C-BinOCT,ctmc,4,2,0,0.6,492.99999999600004,0.0,151.99725604057312,0.0,0.5534420289855072,0.5230352303523035,0.6336206896551724,0.6193548387096774
C-BinOCT,ctmc,4,2,0,0.62,493.0,9.53293895246313e-05,128.84094095230103,0.0,0.5534420289855072,0.5230352303523035,0.6336206896551724,0.6193548387096774
C-BinOCT,ctmc,4,2,0,0.64,497.0,3.285016220642275e-05,124.28147387504578,0.0,0.5498188405797102,0.5257452574525745,0.6439909297052154,0.6308724832214765
C-BinOCT,ctmc,4,2,0,0.66,507.0,1.899950957674483e-05,133.17546105384827,0.0,0.5407608695652174,0.5067750677506775,0.7414965986394558,0.7391304347826086
