Precision_threshold,Fold,method,obj,time,train_acc_margined,test_acc_margined,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall
"{0: 0.6, 3: 0.4}",1,IDSA-PIP,0.83,2410,0.83,0.829,0.898,0.905,"{0: 0.601, 1: 1.0, 2: 1.0, 3: 0.897, 4: 1.0, 5: 1.0, 6: 0.84, 7: 1.0, 8: 0.957}","{0: 0.611, 1: 1.0, 2: 1.0, 3: 0.871, 4: 1.0, 5: 1.0, 6: 0.872, 7: 1.0, 8: 0.954}","{0: 0.967, 1: 1.0, 2: 1.0, 3: 0.148, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.994}","{0: 0.942, 1: 1.0, 2: 1.0, 3: 0.231, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}"
"{0: 0.6, 3: 0.4}",2,Full MIP,-710999.372,3600,0.628,0.625,0.753,0.75,"{0: 0.54, 1: 0.994, 2: 0.986, 3: 0.0, 4: 0.841, 5: 0.456, 6: 0.0, 7: 1.0, 8: 0.972}","{0: 0.525, 1: 0.983, 2: 1.0, 3: 0.0, 4: 0.85, 5: 0.451, 6: 0.0, 7: 1.0, 8: 0.99}","{0: 0.9, 1: 1.0, 2: 1.0, 3: 0.0, 4: 0.878, 5: 1.0, 6: 0.0, 7: 1.0, 8: 0.997}","{0: 0.875, 1: 1.0, 2: 1.0, 3: 0.0, 4: 0.887, 5: 1.0, 6: 0.0, 7: 1.0, 8: 0.99}"
"{0: 0.6, 3: 0.4}",2,PIP,0.783,714,0.783,0.764,0.92,0.921,"{0: 0.611, 1: 1.0, 2: 1.0, 3: 0.79, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 0.615, 1: 1.0, 2: 1.0, 3: 0.794, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99}","{0: 0.892, 1: 1.0, 2: 1.0, 3: 0.419, 4: 1.0, 5: 1.0, 6: 0.997, 7: 1.0, 8: 1.0}","{0: 0.892, 1: 1.0, 2: 1.0, 3: 0.427, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 1.0}"
"{0: 0.6, 3: 0.4}",2,ISA-PIP,0.802,423,0.802,0.79,0.92,0.925,"{0: 0.604, 1: 1.0, 2: 1.0, 3: 0.865, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 0.62, 1: 1.0, 2: 1.0, 3: 0.887, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99}","{0: 0.944, 1: 1.0, 2: 1.0, 3: 0.365, 4: 1.0, 5: 1.0, 6: 0.997, 7: 1.0, 8: 1.0}","{0: 0.95, 1: 1.0, 2: 1.0, 3: 0.402, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 1.0}"
"{0: 0.6, 3: 0.4}",2,IDSA-PIP,0.829,3591,0.829,0.808,0.904,0.903,"{0: 0.602, 1: 1.0, 2: 1.0, 3: 0.851, 4: 1.0, 5: 1.0, 6: 0.901, 7: 1.0, 8: 0.942}","{0: 0.623, 1: 1.0, 2: 1.0, 3: 0.893, 4: 1.0, 5: 1.0, 6: 0.865, 7: 1.0, 8: 0.912}","{0: 0.942, 1: 1.0, 2: 1.0, 3: 0.228, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 0.95, 1: 1.0, 2: 1.0, 3: 0.214, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99}"
"{0: 0.6, 3: 0.4}",3,Full MIP,-818999.134,3600,0.866,0.858,0.884,0.885,"{0: 0.531, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.919, 7: 1.0, 8: 0.978}","{0: 0.517, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.956, 7: 1.0, 8: 1.0}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}"
"{0: 0.6, 3: 0.4}",3,PIP,0.803,738,0.803,0.793,0.921,0.916,"{0: 0.603, 1: 1.0, 2: 1.0, 3: 0.91, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 0.587, 1: 1.0, 2: 1.0, 3: 0.944, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99}","{0: 0.969, 1: 1.0, 2: 1.0, 3: 0.345, 4: 1.0, 5: 1.0, 6: 0.994, 7: 1.0, 8: 1.0}","{0: 0.983, 1: 1.0, 2: 1.0, 3: 0.291, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 1.0}"
"{0: 0.6, 3: 0.4}",3,ISA-PIP,0.813,1007,0.813,0.791,0.921,0.918,"{0: 0.604, 1: 1.0, 2: 1.0, 3: 0.899, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 0.592, 1: 1.0, 2: 1.0, 3: 0.972, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99}","{0: 0.961, 1: 1.0, 2: 1.0, 3: 0.353, 4: 1.0, 5: 1.0, 6: 0.997, 7: 1.0, 8: 1.0}","{0: 0.992, 1: 1.0, 2: 1.0, 3: 0.299, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 1.0}"
"{0: 0.6, 3: 0.4}",3,IDSA-PIP,0.831,2251,0.831,0.822,0.905,0.909,"{0: 0.6, 1: 1.0, 2: 1.0, 3: 0.959, 4: 1.0, 5: 1.0, 6: 0.911, 7: 1.0, 8: 0.939}","{0: 0.584, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.939, 7: 1.0, 8: 0.981}","{0: 0.981, 1: 1.0, 2: 1.0, 3: 0.199, 4: 1.0, 5: 1.0, 6: 0.997, 7: 1.0, 8: 0.997}","{0: 0.983, 1: 1.0, 2: 1.0, 3: 0.222, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}"
"{0: 0.6, 3: 0.4}",4,Full MIP,-944999.123,2564,0.877,0.867,0.885,0.883,"{0: 0.515, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.969}","{0: 0.513, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.962}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.99}"
