Precision_threshold,Fold,method,obj,time,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall
{1: 0.9},3,PIP,0.791,1891,0.836,0.835,"{0: 0.341, 1: 0.9, 2: 0.572}","{0: 0.385, 1: 0.898, 2: 0.564}","{0: 0.298, 1: 0.903, 2: 0.583}","{0: 0.312, 1: 0.903, 2: 0.574}"
{1: 0.9},3,ISA-PIP,0.786,242,0.827,0.815,"{0: 0.405, 1: 0.9, 2: 0.514}","{0: 0.333, 1: 0.908, 2: 0.507}","{0: 0.362, 1: 0.894, 2: 0.552}","{0: 0.375, 1: 0.867, 2: 0.63}"
{1: 0.9},3,IDSA-PIP,0.811,2546,0.836,0.818,"{0: 0.5, 1: 0.9, 2: 0.527}","{0: 0.5, 1: 0.891, 2: 0.478}","{0: 0.191, 1: 0.904, 2: 0.607}","{0: 0.125, 1: 0.888, 2: 0.593}"
{1: 0.9},4,Full MIP,0.804,2672,0.828,0.805,"{0: 0.818, 1: 0.907, 2: 0.489}","{0: 0.2, 1: 0.891, 2: 0.458}","{0: 0.188, 1: 0.882, 2: 0.685}","{0: 0.067, 1: 0.872, 2: 0.6}"
{1: 0.9},4,PIP,0.79,1792,0.821,0.802,"{0: 0.231, 1: 0.9, 2: 0.576}","{0: 0.103, 1: 0.895, 2: 0.578}","{0: 0.375, 1: 0.9, 2: 0.469}","{0: 0.2, 1: 0.884, 2: 0.473}"
{1: 0.9},4,ISA-PIP,0.769,247,0.804,0.799,"{0: 0.188, 1: 0.901, 2: 0.555}","{0: 0.107, 1: 0.89, 2: 0.568}","{0: 0.375, 1: 0.88, 2: 0.469}","{0: 0.2, 1: 0.884, 2: 0.455}"
{1: 0.9},4,IDSA-PIP,0.786,1266,0.833,0.805,"{0: 0.286, 1: 0.9, 2: 0.615}","{0: 0.227, 1: 0.871, 2: 0.528}","{0: 0.417, 1: 0.909, 2: 0.494}","{0: 0.333, 1: 0.903, 2: 0.345}"
"{1: 0.9, 2: 0.65}",1,Full MIP,0.641,2683,0.672,0.638,"{0: 0.047, 1: 0.904, 2: 0.719}","{0: 0.05, 1: 0.901, 2: 0.5}","{0: 0.319, 1: 0.777, 2: 0.141}","{0: 0.375, 1: 0.742, 2: 0.074}"
"{1: 0.9, 2: 0.65}",1,PIP,-14999.279,1985,0.763,0.705,"{0: 0.063, 1: 0.899, 2: 0.791}","{0: 0.077, 1: 0.899, 2: 0.636}","{0: 0.255, 1: 0.879, 2: 0.209}","{0: 0.438, 1: 0.812, 2: 0.13}"
"{1: 0.9, 2: 0.65}",1,ISA-PIP,-73999.216,242,0.852,0.802,"{0: 0.3, 1: 0.893, 2: 0.673}","{0: 0.217, 1: 0.878, 2: 0.524}","{0: 0.255, 1: 0.944, 2: 0.466}","{0: 0.312, 1: 0.891, 2: 0.407}"
"{1: 0.9, 2: 0.65}",1,IDSA-PIP,-25999.238,1834,0.827,0.812,"{0: 0.117, 1: 0.897, 2: 0.653}","{0: 0.2, 1: 0.883, 2: 0.607}","{0: 0.191, 1: 0.929, 2: 0.393}","{0: 0.375, 1: 0.915, 2: 0.315}"
"{1: 0.9, 2: 0.65}",2,Full MIP,0.672,1115,0.705,0.67,"{0: 0.061, 1: 0.909, 2: 0.705}","{0: 0.021, 1: 0.89, 2: 0.5}","{0: 0.362, 1: 0.806, 2: 0.19}","{0: 0.125, 1: 0.782, 2: 0.148}"
"{1: 0.9, 2: 0.65}",2,PIP,0.776,1908,0.822,0.788,"{0: 0.207, 1: 0.903, 2: 0.652}","{0: 0.111, 1: 0.872, 2: 0.526}","{0: 0.404, 1: 0.89, 2: 0.528}","{0: 0.188, 1: 0.885, 2: 0.37}"
"{1: 0.9, 2: 0.65}",2,ISA-PIP,-127999.189,949,0.852,0.81,"{0: 0.442, 1: 0.888, 2: 0.663}","{0: 0.083, 1: 0.856, 2: 0.5}","{0: 0.404, 1: 0.944, 2: 0.423}","{0: 0.062, 1: 0.939, 2: 0.241}"
"{1: 0.9, 2: 0.65}",2,IDSA-PIP,-69999.219,2275,0.844,0.815,"{0: 0.436, 1: 0.9, 2: 0.6}","{0: 0.111, 1: 0.86, 2: 0.529}","{0: 0.511, 1: 0.914, 2: 0.515}","{0: 0.062, 1: 0.93, 2: 0.333}"
"{1: 0.9, 2: 0.65}",3,Full MIP,0.7,3465,0.719,0.708,"{0: 0.036, 1: 0.902, 2: 0.818}","{0: 0.012, 1: 0.902, 2: 0.636}","{0: 0.191, 1: 0.844, 2: 0.11}","{0: 0.062, 1: 0.833, 2: 0.13}"
"{1: 0.9, 2: 0.65}",3,PIP,-166999.191,1188,0.862,0.84,"{0: 0.692, 1: 0.884, 2: 0.664}","{0: 0.667, 1: 0.876, 2: 0.548}","{0: 0.191, 1: 0.96, 2: 0.46}","{0: 0.125, 1: 0.942, 2: 0.426}"
"{1: 0.9, 2: 0.65}",3,ISA-PIP,-230999.21,260,0.815,0.782,"{0: 0.012, 1: 0.879, 2: 0.762}","{0: 0.026, 1: 0.874, 2: 0.0}","{0: 0.021, 1: 0.971, 2: 0.098}","{0: 0.062, 1: 0.945, 2: 0.0}"
"{1: 0.9, 2: 0.65}",3,IDSA-PIP,-116499.326,1687,0.822,0.802,"{0: 0.219, 1: 0.892, 2: 0.622}","{0: 0.207, 1: 0.889, 2: 0.574}","{0: 0.34, 1: 0.901, 2: 0.485}","{0: 0.375, 1: 0.873, 2: 0.5}"
"{1: 0.9, 2: 0.65}",4,Full MIP,0.638,3565,0.682,0.634,"{0: 0.068, 1: 0.9, 2: 0.667}","{0: 0.043, 1: 0.888, 2: 0.4}","{0: 0.438, 1: 0.785, 2: 0.123}","{0: 0.333, 1: 0.748, 2: 0.036}"
"{1: 0.9, 2: 0.65}",4,PIP,-4999.285,1902,0.77,0.747,"{0: 0.128, 1: 0.899, 2: 0.671}","{0: 0.069, 1: 0.874, 2: 0.6}","{0: 0.479, 1: 0.859, 2: 0.315}","{0: 0.267, 1: 0.866, 2: 0.164}"
"{1: 0.9, 2: 0.65}",4,ISA-PIP,0.758,1321,0.784,0.757,"{0: 0.12, 1: 0.901, 2: 0.688}","{0: 0.058, 1: 0.878, 2: 0.6}","{0: 0.396, 1: 0.878, 2: 0.327}","{0: 0.2, 1: 0.872, 2: 0.218}"
"{1: 0.9, 2: 0.65}",4,IDSA-PIP,-38999.206,2046,0.848,0.82,"{0: 0.328, 1: 0.896, 2: 0.685}","{0: 0.19, 1: 0.865, 2: 0.696}","{0: 0.417, 1: 0.933, 2: 0.457}","{0: 0.267, 1: 0.933, 2: 0.291}"
