dataset,depth,split,method,restricted_class,beta_p,objective_value,optimality_gap,time,gamma,train_acc,test_acc,train_prec,test_prec
blsc,3,4,C-BinOCT,0,0.92,128,0.98035731,3600.388392,0,0.726495726,0.687898089,0.921985816,0.836734694
blsc,3,4,C-BinOCT,0,0.93,133,0.978127556,3600.413081,0,0.715811966,0.681528662,0.931818182,0.88372093
blsc,3,4,C-BinOCT,0,0.94,144,0.978476272,3600.106847,0,0.692307692,0.656050955,0.949579832,0.861111111
blsc,3,4,C-BinOCT,0,0.95,150,0.987202494,3600.353021,0,0.679487179,0.656050955,0.954545455,0.914285714
blsc,3,4,C-BinOCT,0,0.96,151,0.988108562,3600.499642,0,0.677350427,0.662420382,0.962962963,0.891891892
blsc,3,4,C-BinOCT,0,0.97,170,0.989978205,3600.10584,0,0.636752137,0.585987261,0.976744186,1
blsc,4,1,C-BinOCT,0,0.88,77,1,3600.238745,0,0.835470085,0.828025478,0.882075472,0.831168831
blsc,4,1,C-BinOCT,0,0.89,82,1,3600.263406,0,0.824786325,0.76433121,0.891089109,0.85483871
blsc,4,1,C-BinOCT,0,0.9,83,1,3600.241646,0,0.822649573,0.777070064,0.903061224,0.779220779
blsc,4,1,C-BinOCT,0,0.91,87,1,3600.264804,0,0.814102564,0.751592357,0.91005291,0.877192982
blsc,4,1,C-BinOCT,0,0.92,92,1,3600.313861,0,0.803418803,0.713375796,0.927374302,0.86
blsc,4,1,C-BinOCT,0,0.93,87,1,3600.354368,0,0.814102564,0.719745223,0.933333333,0.836363636
blsc,4,1,C-BinOCT,0,0.94,86,1,3600.316021,0,0.816239316,0.738853503,0.943502825,0.847457627
blsc,4,1,C-BinOCT,0,0.95,96,1,3600.211737,0,0.794871795,0.713375796,0.952095808,0.893617021
blsc,4,1,C-BinOCT,0,0.96,104,1,3600.325122,0,0.777777778,0.694267516,0.961290323,0.888888889
blsc,4,1,C-BinOCT,0,0.97,103,1,3600.303748,0,0.77991453,0.732484076,0.974193548,0.882352941
blsc,4,2,C-BinOCT,0,0.88,75.99999998,1,3600.340465,0,0.837606838,0.757961783,0.894230769,0.788732394
blsc,4,2,C-BinOCT,0,0.89,82,1,3600.284054,0,0.824786325,0.770700637,0.89,0.890625
blsc,4,2,C-BinOCT,0,0.9,79,1,3600.286537,0,0.831196581,0.751592357,0.909547739,0.822580645
blsc,4,2,C-BinOCT,0,0.91,81,1,3600.249444,0,0.826923077,0.777070064,0.912820513,0.833333333
blsc,4,2,C-BinOCT,0,0.92,90,1,3600.221118,0,0.807692308,0.732484076,0.927777778,0.842105263
blsc,4,2,C-BinOCT,0,0.93,85,1,3600.26143,0,0.818376068,0.751592357,0.930107527,0.825396825
blsc,4,2,C-BinOCT,0,0.94,97,1,3600.353396,0,0.792735043,0.770700637,0.94047619,0.85483871
blsc,4,2,C-BinOCT,0,0.95,108,1,3600.280395,0,0.769230769,0.713375796,0.953020134,0.901960784
blsc,4,2,C-BinOCT,0,0.96,101,1,3600.361526,0,0.784188034,0.72611465,0.961783439,0.886792453
blsc,4,2,C-BinOCT,0,0.97,106,1,3600.207421,0,0.773504274,0.719745223,0.973509934,0.914893617
blsc,4,3,C-BinOCT,0,0.88,79,1,3600.276896,0,0.831196581,0.796178344,0.885167464,0.802631579
blsc,4,3,C-BinOCT,0,0.89,79,1,3600.21795,0,0.831196581,0.808917197,0.893203883,0.835616438
blsc,4,3,C-BinOCT,0,0.9,92,1,3600.201518,0,0.803418803,0.713375796,0.903225806,0.824561404
blsc,4,3,C-BinOCT,0,0.91,94.99999998,1,3600.181805,0,0.797008547,0.72611465,0.91160221,0.827586207
blsc,4,3,C-BinOCT,0,0.92,92,1,3600.284829,0,0.803418803,0.770700637,0.922222222,0.892857143
blsc,4,3,C-BinOCT,0,0.93,97,1,3600.244293,0,0.792735043,0.738853503,0.930232558,0.886792453
blsc,4,3,C-BinOCT,0,0.94,100,1,3600.262105,0,0.786324786,0.72611465,0.94011976,0.88
blsc,4,3,C-BinOCT,0,0.95,101,1,3600.196056,0,0.784188034,0.681528662,0.950617284,0.847826087
blsc,4,3,C-BinOCT,0,0.96,108,1,3600.277104,0,0.769230769,0.713375796,0.960264901,0.952380952
blsc,4,3,C-BinOCT,0,0.97,110,1,3600.267888,0,0.764957265,0.700636943,0.972789116,0.928571429
blsc,4,4,C-BinOCT,0,0.88,79,1,3600.256039,0,0.831196581,0.815286624,0.881516588,0.857142857
blsc,4,4,C-BinOCT,0,0.89,78.99999999,1,3600.271837,0,0.831196581,0.751592357,0.892682927,0.771428571
blsc,4,4,C-BinOCT,0,0.9,78,1,3600.334959,0,0.833333333,0.76433121,0.901477833,0.818181818
blsc,4,4,C-BinOCT,0,0.91,80,1,3600.308974,0,0.829059829,0.74522293,0.913705584,0.771428571
blsc,4,4,C-BinOCT,0,0.92,89.99999999,1,3600.24703,0,0.807692308,0.770700637,0.922651934,0.841269841
blsc,4,4,C-BinOCT,0,0.93,91,1,3600.371319,0,0.805555556,0.751592357,0.93258427,0.815384615
blsc,4,4,C-BinOCT,0,0.94,91,1,3600.27282,0,0.805555556,0.74522293,0.943181818,0.859649123
blsc,4,4,C-BinOCT,0,0.95,108,1,3600.219924,0,0.769230769,0.770700637,0.954545455,0.877192982
blsc,4,4,C-BinOCT,0,0.96,105,1,3600.24626,0,0.775641026,0.757961783,0.961538462,0.925925926
blsc,4,4,C-BinOCT,0,0.97,112,1,3600.283374,0,0.760683761,0.74522293,0.972413793,0.87037037
