dataset,depth,split,method,tau_0,key_beta_p,beta_p,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc,test_acc,train_prec,test_prec
ctmc,3,2,IDSA4-PIP,8,1,0.81,0.558876812,,1229.194087,,0,0.559,0.463,0.845,0.739
ctmc,3,2,IDSA-PIP,8,1,0.81,0.549818841,,808.7088506,,0,0.55,0.463,0.842,0.769
ctmc,3,3,Full MIP,4,1,0.81,0.432971014,1.309623431,2.734548807,3600.317321,0,0.433,0.463,1,1
ctmc,3,3,F-PIP,4,1,0.81,0.432065217,,585.4853508,,0,0.432,0.466,0.985,1
ctmc,3,3,ISA-PIP,4,1,0.81,0.432065217,,2080.776961,,0,0.432,0.466,0.985,1
ctmc,3,3,FD4-PIP,4,1,0.81,0.49365942,,847.649349,,0,0.494,0.466,0.904,0.792
ctmc,3,3,FD-PIP,4,1,0.81,0.49365942,,875.4961648,,0,0.494,0.466,0.904,0.792
ctmc,3,3,IDSA4-PIP,4,1,0.81,0.586050725,,1357.33313,,0,0.588,0.558,0.812,0.723
ctmc,3,3,IDSA-PIP,4,1,0.81,0.586050725,,1376.024509,,0,0.588,0.558,0.812,0.723
ctmc,3,4,Full MIP,4,1,0.81,0.444746377,1.248472505,3.195996046,3600.334745,0,0.445,0.431,0.987,1
ctmc,3,4,F-PIP,4,1,0.81,0.44384058,,1016.825384,,0,0.444,0.431,0.987,1
ctmc,3,4,ISA-PIP,4,1,0.81,0.44384058,,2184.035247,,0,0.444,0.431,0.987,1
ctmc,3,4,FD4-PIP,4,1,0.81,0.487318841,,746.2173953,,0,0.488,0.469,0.893,0.844
ctmc,3,4,FD-PIP,4,1,0.81,0.471014493,,623.4033868,,0,0.471,0.458,1,1
ctmc,3,4,IDSA4-PIP,4,1,0.81,0.563405797,,1412.729998,,0,0.563,0.537,0.818,0.793
ctmc,3,4,IDSA-PIP,4,1,0.81,0.561594203,,1195.272943,,0,0.562,0.537,0.814,0.761
ceva,3,1,Full MIP,9,1,0.97,0.800154321,0.24975892,3600.037191,3600.206243,0,0.8,0.778,1,1
ceva,3,1,F-PIP,9,1,0.97,-213099.2091,,586.2257421,,21.31,0.791,0.806,0.944,0.97
ceva,3,1,ISA-PIP,9,1,0.97,-213099.2091,,1943.291918,,21.31,0.791,0.806,0.944,0.97
ceva,3,1,FD4-PIP,9,1,0.97,0.87808642,,1138.921622,,0,0.878,0.852,1,0.979
ceva,3,1,FD-PIP,9,1,0.97,0.87962963,,1011.729256,,0,0.88,0.866,0.999,0.993
ceva,3,1,IDSA4-PIP,9,1,0.97,0.896604938,,2217.030968,,0,0.897,0.863,0.994,0.969
ceva,3,1,IDSA-PIP,9,1,0.97,0.888117284,,1632.719392,,0,0.888,0.894,1,1
ceva,3,2,Full MIP,6,1,0.97,0.774691358,0.290836653,3.383430004,3600.27989,0,0.775,0.787,1,1
ceva,3,2,F-PIP,6,1,0.97,-32699.2091,,636.2557311,,3.27,0.791,0.794,0.966,0.966
ceva,3,2,ISA-PIP,6,1,0.97,-32699.2091,,1758.748907,,3.27,0.791,0.794,0.966,0.966
ceva,3,2,FD4-PIP,6,1,0.97,0.782407407,,257.8988328,,0,0.782,0.782,1,0.992
ceva,3,2,FD-PIP,6,1,0.97,0.782407407,,272.6407292,,0,0.782,0.782,1,0.992
