method,dataset,run,depth,restricted_class,beta_p,objective_value,optimality_gap,time,gamma,train_acc,test_acc,train_prec,test_prec
C-BinOCT,balance_scale,4,3,0,0.95,149.999999998,0.987202493741985,3600.3530209064484,0.0,0.6794871794871795,0.6560509554140127,0.9545454545454546,0.9142857142857143
C-BinOCT,balance_scale,4,3,0,0.96,151.0,0.9881085620579162,3600.499641895294,0.0,0.6773504273504274,0.6624203821656051,0.9629629629629629,0.8918918918918919
C-BinOCT,balance_scale,4,3,0,0.97,170.0,0.989978204618409,3600.1058399677277,0.0,0.6367521367521367,0.5859872611464968,0.9767441860465116,1.0
C-BinOCT,balance_scale,1,4,0,0.88,77.0,0.9999999999987013,3600.2387449741364,0.0,0.8354700854700855,0.8280254777070064,0.8820754716981132,0.8311688311688312
C-BinOCT,balance_scale,1,4,0,0.89,81.99999999616745,0.9999999999987804,3600.2634060382843,0.0,0.8247863247863247,0.7643312101910829,0.8910891089108911,0.8548387096774194
C-BinOCT,balance_scale,1,4,0,0.9,83.0,0.9999999999987952,3600.241646051407,0.0,0.8226495726495726,0.7770700636942676,0.9030612244897959,0.7792207792207793
C-BinOCT,balance_scale,1,4,0,0.91,86.99999999799999,0.9999999999988506,3600.2648038864136,0.0,0.8141025641025641,0.7515923566878981,0.91005291005291,0.8771929824561403
C-BinOCT,balance_scale,1,4,0,0.92,92.0,0.999999999998913,3600.313861131668,0.0,0.8034188034188035,0.7133757961783439,0.9273743016759777,0.86
C-BinOCT,balance_scale,1,4,0,0.93,87.0,0.9999999999988506,3600.3543679714203,0.0,0.8141025641025641,0.7197452229299363,0.9333333333333333,0.8363636363636363
C-BinOCT,balance_scale,1,4,0,0.94,86.0,0.9999999999988372,3600.316020965576,0.0,0.8162393162393162,0.7388535031847133,0.943502824858757,0.847457627118644
C-BinOCT,balance_scale,1,4,0,0.95,95.999999996,0.9999999999989583,3600.2117371559143,0.0,0.7948717948717948,0.7133757961783439,0.9520958083832335,0.8936170212765957
C-BinOCT,balance_scale,1,4,0,0.96,104.0,0.9999999999990384,3600.3251218795776,0.0,0.7777777777777778,0.6942675159235668,0.9612903225806452,0.8888888888888888
C-BinOCT,balance_scale,1,4,0,0.97,103.0,0.9999999999990291,3600.3037481307983,0.0,0.7799145299145299,0.732484076433121,0.9741935483870968,0.8823529411764706
C-BinOCT,balance_scale,2,4,0,0.88,75.999999984,0.9999999999986842,3600.340465068817,0.0,0.8376068376068376,0.7579617834394905,0.8942307692307693,0.7887323943661971
C-BinOCT,balance_scale,2,4,0,0.89,81.999999995,0.9999999999987804,3600.284054040909,0.0,0.8247863247863247,0.7707006369426752,0.89,0.890625
C-BinOCT,balance_scale,2,4,0,0.9,78.999999999,0.9999999999987341,3600.2865369319916,0.0,0.8311965811965812,0.7515923566878981,0.9095477386934674,0.8225806451612904
C-BinOCT,balance_scale,2,4,0,0.91,81.0,0.9999999999987654,3600.2494440078735,0.0,0.8269230769230769,0.7770700636942676,0.9128205128205128,0.8333333333333334
C-BinOCT,balance_scale,2,4,0,0.92,90.0,0.9999999999988889,3600.2211179733276,0.0,0.8076923076923077,0.732484076433121,0.9277777777777778,0.8421052631578947
C-BinOCT,balance_scale,2,4,0,0.93,85.0,0.9999999999988235,3600.2614300251007,0.0,0.8183760683760684,0.7515923566878981,0.9301075268817204,0.8253968253968254
C-BinOCT,balance_scale,2,4,0,0.94,97.0,0.999999999998969,3600.3533959388733,0.0,0.7927350427350427,0.7707006369426752,0.9404761904761905,0.8548387096774194
C-BinOCT,balance_scale,2,4,0,0.95,108.0,0.9999999999990741,3600.2803950309753,0.0,0.7692307692307693,0.7133757961783439,0.9530201342281879,0.9019607843137255
C-BinOCT,balance_scale,2,4,0,0.96,101.0,0.9999999999990099,3600.3615260124207,0.0,0.7841880341880342,0.7261146496815286,0.9617834394904459,0.8867924528301887
C-BinOCT,balance_scale,2,4,0,0.97,106.0,0.9999999999990565,3600.207421064377,0.0,0.7735042735042735,0.7197452229299363,0.9735099337748344,0.9148936170212766
C-BinOCT,balance_scale,3,4,0,0.88,79.0,0.9999999999987341,3600.2768959999084,0.0,0.8311965811965812,0.7961783439490446,0.8851674641148325,0.8026315789473685
C-BinOCT,balance_scale,3,4,0,0.89,79.0,0.9999999999987341,3600.217950105667,0.0,0.8311965811965812,0.8089171974522293,0.8932038834951457,0.8356164383561644
C-BinOCT,balance_scale,3,4,0,0.9,92.0,0.999999999998913,3600.201518058777,0.0,0.8034188034188035,0.7133757961783439,0.9032258064516129,0.8245614035087719
C-BinOCT,balance_scale,3,4,0,0.91,94.999999984,0.9999999999989474,3600.1818051338196,0.0,0.7970085470085471,0.7261146496815286,0.9116022099447514,0.8275862068965517
C-BinOCT,balance_scale,3,4,0,0.92,92.0,0.999999999998913,3600.2848291397095,0.0,0.8034188034188035,0.7707006369426752,0.9222222222222223,0.8928571428571429
C-BinOCT,balance_scale,3,4,0,0.93,97.0,0.999999999998969,3600.244292974472,0.0,0.7927350427350427,0.7388535031847133,0.9302325581395349,0.8867924528301887
C-BinOCT,balance_scale,3,4,0,0.94,100.0,0.999999999999,3600.262104988098,0.0,0.7863247863247863,0.7261146496815286,0.9401197604790419,0.88
C-BinOCT,balance_scale,3,4,0,0.95,101.0,0.9999999999990099,3600.1960558891296,0.0,0.7841880341880342,0.6815286624203821,0.9506172839506173,0.8478260869565217
C-BinOCT,balance_scale,3,4,0,0.96,108.0,0.9999999999990741,3600.2771039009094,0.0,0.7692307692307693,0.7133757961783439,0.9602649006622517,0.9523809523809523
C-BinOCT,balance_scale,3,4,0,0.97,110.0,0.9999999999990908,3600.267888069153,0.0,0.7649572649572649,0.7006369426751592,0.9727891156462585,0.9285714285714286
C-BinOCT,balance_scale,4,4,0,0.88,78.999999999,0.9999999999987341,3600.25603890419,0.0,0.8311965811965812,0.8152866242038217,0.8815165876777251,0.8571428571428571
C-BinOCT,balance_scale,4,4,0,0.89,78.999999986,0.9999999999987341,3600.2718369960785,0.0,0.8311965811965812,0.7515923566878981,0.8926829268292683,0.7714285714285715
C-BinOCT,balance_scale,4,4,0,0.9,78.0,0.9999999999987179,3600.3349590301514,0.0,0.8333333333333334,0.7643312101910829,0.9014778325123153,0.8181818181818182
C-BinOCT,balance_scale,4,4,0,0.91,80.0,0.99999999999875,3600.3089740276337,0.0,0.8290598290598291,0.7452229299363057,0.9137055837563451,0.7714285714285715
C-BinOCT,balance_scale,4,4,0,0.92,89.999999988,0.9999999999988889,3600.24703001976,0.0,0.8076923076923077,0.7707006369426752,0.9226519337016574,0.8412698412698413
C-BinOCT,balance_scale,4,4,0,0.93,91.0,0.9999999999989011,3600.3713190555573,0.0,0.8055555555555556,0.7515923566878981,0.9325842696629213,0.8153846153846154
C-BinOCT,balance_scale,4,4,0,0.94,91.0,0.9999999999989011,3600.27281999588,0.0,0.8055555555555556,0.7452229299363057,0.9431818181818182,0.8596491228070176
C-BinOCT,balance_scale,4,4,0,0.95,107.99999998700466,0.9999999999990741,3600.2199239730835,0.0,0.7692307692307693,0.7707006369426752,0.9545454545454546,0.8771929824561403
C-BinOCT,balance_scale,4,4,0,0.96,104.9999999960001,0.9999999999990477,3600.246260166168,0.0,0.7756410256410257,0.7579617834394905,0.9615384615384616,0.9259259259259259
C-BinOCT,balance_scale,4,4,0,0.97,112.0,0.9999999999991072,3600.283374071121,0.0,0.7606837606837606,0.7452229299363057,0.9724137931034482,0.8703703703703703
