approach,dataset,sample,nrow,depth,restricted_class,beta_p,lambda,time_limit,status,obj_value,gamma_value,solving_time,gap,train_acc,eval_acc,test_acc,train_prec,eval_prec,test_prec,node_count,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc
FlowOCT,balance_scale_onehot,4,468,3,0,0.94,0.3,3600,9,-121.5,0,3600.162492,16.70781893,0.634615385,0.641025641,0.592356688,0.943820225,0.90625,0.846153846,482601,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,3,0,0.95,0.3,3600,9,-122.9,0,3600.091601,15.05288853,0.63034188,0.621794872,0.592356688,0.975609756,0.961538462,0.913043478,499191,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,3,0,0.96,0.3,3600,9,-122.9,0,3600.112905,15.29698942,0.63034188,0.621794872,0.592356688,0.975609756,0.961538462,0.913043478,479205,0,0,0,0
FlowOCT,balance_scale_onehot,4,468,3,0,0.97,0.3,3600,9,-122.9,0,3600.053847,8.299430431,0.63034188,0.628205128,0.592356688,0.975609756,0.962962963,0.913043478,415897,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,4,0,0.88,0,3600,9,-114,0,3600.175171,100,0.756410256,0.75,0.72611465,0.901234568,0.921568627,0.827586207,221,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,4,0,0.89,0,3600,9,-123,0,3600.211628,100,0.737179487,0.737179487,0.700636943,0.962686567,1,0.930232558,216,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,4,0,0.9,0,3600,9,-111,0,3600.179234,100,0.762820513,0.743589744,0.732484076,0.901234568,0.918367347,0.872727273,1267,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,4,0,0.91,0,3600,9,-127,0,3600.164902,100,0.728632479,0.730769231,0.700636943,0.914893617,0.956521739,0.875,401,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,4,0,0.92,0,3600,9,-121,0,3600.179534,100,0.741452991,0.743589744,0.707006369,0.93006993,0.956521739,0.913043478,376,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,4,0,0.93,0,3600,9,-146,0,3600.214888,100,0.688034188,0.698717949,0.630573248,0.931623932,0.974358974,0.744680851,223,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,4,0,0.94,0,3600,9,-149,0,3600.373799,100,0.681623932,0.679487179,0.649681529,0.945945946,0.972222222,0.864864865,311,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,4,0,0.95,0,3600,9,-145,0,3600.318909,100,0.69017094,0.673076923,0.694267516,0.956140351,0.970588235,0.904761905,223,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,4,0,0.96,0,3600,9,-138,0,3600.762016,100,0.705128205,0.679487179,0.707006369,0.974358974,1,0.930232558,243,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,4,0,0.97,0,3600,9,-164,0,3600.974819,100,0.64957265,0.66025641,0.643312102,0.988505747,1,0.882352941,224,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,4,0,0.88,0.5,3600,9,-69.5,0,3600.167418,96.4028777,0.724358974,0.75,0.719745223,0.891891892,0.921568627,0.833333333,3883,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,4,0,0.89,0.5,3600,9,-68.5,0,3600.187451,96.35036496,0.730769231,0.756410256,0.72611465,0.893333333,0.888888889,0.88,3022,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,4,0,0.9,0.5,3600,9,-69,0,3600.253005,96.37681159,0.732905983,0.756410256,0.719745223,0.9,0.907407407,0.818181818,3717,0,0,0,0
